Account name,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,02/08/2024,GBP,40,39.16,850,61
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,02/08/2024,GBP,26.66,26.51,"14,658",0
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,02/08/2024,GBP,43.33,43.78,"42,818",66
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,02/08/2024,GBP,50,48.25,"1,150",101
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,02/08/2024,GBP,40,42,"5,741",10
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,02/08/2024,GBP,22,7.46,"2,740",224
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,02/08/2024,GBP,30,28.03,"19,209",690
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,03/08/2024,GBP,20,19.3,"13,296",63
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,03/08/2024,GBP,40,39.36,800,67
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,03/08/2024,GBP,26.66,26.48,"15,688",2
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,03/08/2024,GBP,43.33,40.25,"56,138",125
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,03/08/2024,GBP,50,48.79,"1,196",108
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,03/08/2024,GBP,40,74.42,"11,039",12
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,03/08/2024,GBP,22,5.49,"2,035",167
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,03/08/2024,GBP,30,26.53,"23,423",678
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,04/08/2024,GBP,20,18.73,"23,719",111
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,04/08/2024,GBP,40,39.36,689,77
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,04/08/2024,GBP,26.66,26.29,"16,153",3
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,04/08/2024,GBP,43.33,41.83,"77,527",232
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,04/08/2024,GBP,50,49.55,"1,207",116
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,04/08/2024,GBP,40,39.3,"7,095",5
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,04/08/2024,GBP,22,39.72,"10,669",871
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,04/08/2024,GBP,30,36.52,"32,474",712
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,05/08/2024,GBP,20,19.58,"48,591",194
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,05/08/2024,GBP,40,38.04,664,57
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,05/08/2024,GBP,26.66,26.47,"16,146",3
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,05/08/2024,GBP,43.33,40.23,"117,252",386
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,05/08/2024,GBP,50,48.23,835,86
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,05/08/2024,GBP,40,39.56,"6,660",11
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,05/08/2024,GBP,22,7.3,"4,014",194
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,05/08/2024,GBP,30,30.04,"35,131",612
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,06/08/2024,GBP,20,18.75,"73,985",330
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,06/08/2024,GBP,40,39.25,603,64
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,06/08/2024,GBP,26.66,26.33,"15,596",2
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,06/08/2024,GBP,43.33,40.83,"149,784",648
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,06/08/2024,GBP,50,49.05,"1,223",116
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,06/08/2024,GBP,40,39.16,"6,555",8
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,06/08/2024,GBP,22,7.91,"2,782",210
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,06/08/2024,GBP,30,28.39,"23,759",669
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,07/08/2024,GBP,20,6,"29,038",184
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,07/08/2024,GBP,40,38.04,604,76
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,07/08/2024,GBP,26.66,26.16,"15,509",2
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,07/08/2024,GBP,43.33,40.74,"179,621","1,025"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,07/08/2024,GBP,50,49.74,820,93
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,07/08/2024,GBP,40,39.2,"6,649",2
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,07/08/2024,GBP,22,42.38,"12,909",816
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,07/08/2024,GBP,30,30.38,"20,711",721
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,08/08/2024,GBP,20,0,20,0
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,08/08/2024,GBP,40,38.75,762,83
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,08/08/2024,GBP,26.66,26.34,"15,411",4
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,08/08/2024,GBP,43.33,1.24,"5,563",51
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,08/08/2024,GBP,50,48.12,996,113
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,08/08/2024,GBP,40,39.28,"6,758",7
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,08/08/2024,GBP,22,40.47,"9,644",952
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,08/08/2024,GBP,30,32.35,"23,467",614
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,09/08/2024,GBP,20,18.97,"86,239",505
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,09/08/2024,GBP,40,37.91,790,85
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,09/08/2024,GBP,26.66,26.32,"14,821",3
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,09/08/2024,GBP,43.33,0.55,"1,932",22
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,09/08/2024,GBP,50,40.66,991,103
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,09/08/2024,GBP,40,38.83,"6,665",14
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,09/08/2024,GBP,22,25.18,"7,058",616
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,09/08/2024,GBP,30,30.7,"32,276",568
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,10/08/2024,GBP,20,38.76,"151,171",892
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,10/08/2024,GBP,40,34.54,710,80
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,10/08/2024,GBP,26.66,26.11,"13,933",2
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,10/08/2024,GBP,43.33,39.92,"177,738","1,074"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,10/08/2024,GBP,50,56.87,"1,224",139
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,10/08/2024,GBP,40,41.35,"7,538",7
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,10/08/2024,GBP,22,25.05,"6,778",636
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,10/08/2024,GBP,30,13.95,"11,042",352
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,11/08/2024,GBP,20,26.92,"127,283",671
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,11/08/2024,GBP,40,43.43,814,98
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,11/08/2024,GBP,26.66,25.83,"14,798",0
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,11/08/2024,GBP,43.33,85.21,"369,593","1,759"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,11/08/2024,GBP,50,42.85,"1,057",113
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,11/08/2024,GBP,40,36.72,"6,792",11
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,11/08/2024,GBP,22,24.78,"6,901",631
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,11/08/2024,GBP,30,12.07,"10,630",316
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,12/08/2024,GBP,20,22.36,"86,899",564
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,12/08/2024,GBP,40,36.18,530,84
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,12/08/2024,GBP,26.66,25.97,"14,869",5
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,12/08/2024,GBP,43.33,59.47,"232,985","1,507"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,12/08/2024,GBP,50,51.63,"1,158",132
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,12/08/2024,GBP,40,38.28,"6,740",8
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,12/08/2024,GBP,22,24.91,"6,469",638
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,12/08/2024,GBP,30,59.26,"36,746","1,134"
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,13/08/2024,GBP,20,22.6,"90,991",570
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,13/08/2024,GBP,40,38.8,778,100
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,13/08/2024,GBP,26.66,25.93,"14,528",2
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,13/08/2024,GBP,43.33,42.43,"190,539","1,126"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,13/08/2024,GBP,50,49.22,"1,211",131
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,13/08/2024,GBP,40,38.47,"6,825",15
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,13/08/2024,GBP,22,25.4,"6,457",645
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,13/08/2024,GBP,30,35.49,"28,854",792
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,14/08/2024,GBP,20,21.23,"94,603",550
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,14/08/2024,GBP,40,37.7,781,93
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,14/08/2024,GBP,26.66,26.04,"16,279",15
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,14/08/2024,GBP,43.33,69.33,"265,046","1,431"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,14/08/2024,GBP,50,48.48,"1,189",128
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,14/08/2024,GBP,40,38.25,"6,867",15
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,14/08/2024,GBP,22,22.15,"6,482",540
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,14/08/2024,GBP,30,33.48,"27,395",738
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,15/08/2024,GBP,20,16.09,"70,950",407
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,40,27.9,675,73
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,26.66,25.82,"9,800",13
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,15/08/2024,GBP,43.33,48.69,"224,386","1,009"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,50,46.38,"1,074",126
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,40,38.54,"6,700",14
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,88,88.62,380,47
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,88,88.44,"13,692",36
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,15/08/2024,GBP,22,20.62,"5,585",513
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,15/08/2024,GBP,30,29.4,"22,824",703
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,16/08/2024,GBP,20,22.01,"74,718",425
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,40,40.16,875,99
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,26.66,25.61,"8,689",9
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,16/08/2024,GBP,43.33,8.11,"38,556",239
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,50,39.96,"1,035",117
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,40,38.55,"6,312",11
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,88,93.28,816,62
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,88,88.08,"23,448",40
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,16/08/2024,GBP,22,19.77,"6,221",494
