Weekly Tracker Data
"January 1, 2024 - July 31, 2024"
Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-04,GBP,2.00,8.32,"23,662",110
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-04,GBP,5.00,8.13,"32,546",157
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-05,GBP,2.00,8.01,"27,652",118
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-05,GBP,2.00,7.97,"29,123",63
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-05,GBP,2.00,9.38,"31,404",62
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-05,GBP,2.00,8.33,"39,327",161
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-05,GBP,2.00,8.42,"28,126",123
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-05,GBP,5.00,8.21,"31,924",165
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-06,GBP,2.00,8.08,"28,899",118
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-06,GBP,2.00,8.29,"36,267",64
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-06,GBP,2.00,7.13,"26,475",60
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-06,GBP,2.00,7.95,"40,620",151
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-06,GBP,2.00,7.57,"22,931",106
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-06,GBP,5.00,8.41,"35,472",173
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-07,GBP,2.00,8.50,"32,499",98
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-07,GBP,2.00,8.55,"34,158",80
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-07,GBP,2.00,6.63,"26,427",62
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-07,GBP,2.00,7.83,"42,848",167
